station,time,geometry,day
common,7.1,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,7.2,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,8.15,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,8.35,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,9.2,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,9.4,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,10.25,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,10.45,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,11.3,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,11.5,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,12.35,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,12.55,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,13.4,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,14,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,14.45,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,15.05,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,15.5,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,16.1,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,16.55,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,17.15,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,18,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,18.2,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,19.3,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,19.5,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,21,"POINT(39.332363777163295, -82.1107700317955)",Monday
Baker,21.2,"POINT(39.32553391636762, -82.10134322924043)",Monday
common,7.1,"POINT(39.332363777163295, -82.1107700317955)",Friday
Baker,7.2,"POINT(39.32553391636762, -82.10134322924043)",Friday
common,8.15,"POINT(39.332363777163295, -82.1107700317955)",Friday
Baker,8.35,"POINT(39.32553391636762, -82.10134322924043)",Friday
common,9.2,"POINT(39.332363777163295, -82.1107700317955)",Friday
